Dato,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515
tirsdag 1.juni,x,,,,,,x,,,,,,,,x
onsdag 2.juni,,x,,,,,,,,,x,,,x,x
torsdag 3.juni,x,x,,,,,,,,,x,,,,
søndag 6.juni,,x,,,,,x,,,,,,,,x
mandag 7.juni,,,,x,,,x,,,x,x,,,x,
tirsdag 8.juni,x,,,,,,x,,,,,,,,x
onsdag 9.juni,,,,,,,x,,,x,x,,,,x
torsdag 10.juni,,x,,x,,,x,,,,,,,,
søndag 13.juni,,,,,,,,,,,,,,,x
mandag 14.juni,,,,,,X,x,,,,,,,,
tirsdag 15.juni,,,,,,,x,,,,,,,x,x
onsdag 16.juni,,,,,,X,x,,,x,x,,,,x
torsdag 17.juni,,x,,,,X,,,,,,,,,
søndag 20.juni,,x,x,,,X,,,,x,,,,,x
mandag 21.juni,,x,,,,X,x,,,x,x,,,,
tirsdag 22.juni,,,,,,,x,,,,x,,,,
onsdag 23.juni,,,,,,,x,,,,,,,,
torsdag 24.juni,,x,,,,,x,,,,,,X,,
søndag 27.juni,,x,,x,,,,,,,,,X,,
mandag 28.juni,,x,,,,,x,,,,,,X,,
tirsdag 29.juni,,,,,,,x,,,,,,X,,
onsdag 30.juni,,,,,,,,,,,,,X,,
